angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,label
-139.07724111691286,-38.2933418881345,-44.39432465708685,40.922758883087155,-40.68085359270919,-48.50388823535191,132.85894097950188,-125.21986253006841,-123.65589695555154,130.12622644694923,-126.10925404232155,-123.33657516356524,Downdog
94.77591393474802,-144.3749586528591,-158.02459438906916,-85.224086065252,-141.00947279744204,-160.09683152784126,54.10152235124315,-46.89146786345814,-44.76613302764801,51.17475495980316,-45.16560233989166,-49.041624197952146,Downdog
8.276474910675143,-128.91148466857632,-135.85996902548692,-171.72352508932485,-123.18763526219875,-129.6161220333901,49.798269919209034,-66.02140370849979,-67.15293652232275,50.196637664038875,-65.7175125341631,-66.75731648843063,Downdog
-129.95306978375385,-41.62788819036448,-29.23696521456227,50.046930216246174,-33.10235166899088,-29.478533496727128,136.8704528413227,-132.86813668293252,-130.74039399287008,131.8535230964155,-132.749274847651,-130.7647144496293,Downdog
9.810731593984308,-123.80653870764088,-125.64887954890375,-170.18926840601569,-116.28721629077529,-126.41461007627139,30.651393525866826,-46.073957160618384,-49.62178832827284,31.756624556369736,-45.16361036749948,-51.46111675490837,Downdog
-77.82760764524532,-57.697642096413006,-48.59507360802218,102.17239235475469,-57.611096191066274,-41.92834175039126,139.30386051862158,-118.24181057027928,-123.11143742990411,137.77330286356968,-117.14602990501427,-122.47287333180584,Downdog
-1.8777088108262217,-123.98183040771521,-140.1702526910154,178.12229118917378,-119.59657448128787,-136.57830006695335,40.39336019665511,-57.015333706396646,-49.121193984310935,38.13769514965135,-56.82442842796873,-48.25582353168308,Downdog
112.85074908815814,-137.7070471449476,-150.40138360354084,-67.14925091184186,-136.72734691639576,-151.40369448817276,48.490398202679124,-72.02359851886098,-42.038703004220636,46.275546755660756,-77.1149646508819,-39.31088944100293,Downdog
-22.959083284901183,-128.48825661717686,-135.1581787416882,157.04091671509883,-123.89050150360298,-138.03470773545789,39.44104725223545,-54.35103191348581,-59.88498713897833,45.30581526237929,-51.69166994552933,-59.816312681487695,Downdog
9.810731593984308,-123.80653870764088,-125.64887954890375,-170.18926840601569,-116.28721629077529,-126.41461007627139,30.651393525866826,-46.073957160618384,-49.62178832827284,31.756624556369736,-45.16361036749948,-51.46111675490837,Downdog
94.77591393474802,-144.3749586528591,-158.02459438906916,-85.224086065252,-141.00947279744204,-160.09683152784126,54.10152235124315,-46.89146786345814,-44.76613302764801,51.17475495980316,-45.16560233989166,-49.041624197952146,Downdog
